PID,State,District,N,P,K,MaxT,MinT,WindSpeed,Humidity,Precipitation,Rainfall,Season,Crop,Production,Production,Units,Yield,Crime,Quality,Import/Export,SupplyChain,Health,Profit/Loss
1,AP,wgt,10,20,30,25,15,10,70,0.5,50,Winter,Wheat,5000,Kilograms,10,Low,Good,High,Stable,Good,Positive,
2,AP,wgt,12,18,32,24,14,12,65,0.3,30,Winter,Wheat,4800,Kilograms,9.6,Medium,Excellent,Medium,Stable,Excellent,Positive,
3,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Wheat,5200,Kilograms,10.4,High,Good,Low,Stable,Good,Positive,
4,AP,wgt,9,15,35,23,13,10,68,0.4,40,Winter,Wheat,4600,Kilograms,9.2,Medium,Good,High,Stable,Good,Negative,
5,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Wheat,4900,Kilograms,9.8,High,Excellent,Medium,Stable,Excellent,Positive,
6,AP,wgt,10,18,30,25,15,10,70,0.5,50,Winter,Rice,6000,Kilograms,12,Low,Good,High,Stable,Good,Positive,
7,AP,wgt,12,20,35,24,14,12,65,0.3,30,Winter,Rice,5700,Kilograms,11.4,Medium,Excellent,Medium,Stable,Excellent,Positive,
8,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Rice,6300,Kilograms,12.6,High,Good,Low,Stable,Good,Positive,
9,AP,wgt,9,15,32,23,13,10,68,0.4,40,Winter,Rice,5400,Kilograms,10.8,Medium,Good,High,Stable,Good,Negative,
10,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Rice,5800,Kilograms,11.6,High,Excellent,Medium,Stable,Excellent,Positive,
11,AP,wgt,10,20,30,25,15,10,70,0.5,50,Winter,Maize,4000,Kilograms,8,Low,Good,High,Stable,Good,Positive,
12,AP,wgt,12,18,32,24,14,12,65,0.3,30,Winter,Maize,3800,Kilograms,7.6,Medium,Excellent,Medium,Stable,Excellent,Positive,
13,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Maize,4200,Kilograms,8.4,High,Good,Low,Stable,Good,Positive,
14,AP,wgt,9,15,35,23,13,10,68,0.4,40,Winter,Maize,3600,Kilograms,7.2,Medium,Good,High,Stable,Good,Negative,
15,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Maize,3900,Kilograms,7.8,High,Excellent,Medium,Stable,Excellent,Positive,
16,AP,wgt,10,18,30,25,15,10,70,0.5,50,Winter,Maize,4200,Kilograms,8.4,Low,Good,High,Stable,Good,Positive,
17,AP,wgt,12,20,35,24,14,12,65,0.3,30,Winter,Maize,4000,Kilograms,8,Medium,Excellent,Medium,Stable,Excellent,Positive,
18,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Maize,4400,Kilograms,8.8,High,Good,Low,Stable,Good,Positive,
19,AP,wgt,9,15,32,23,13,10,68,0.4,40,Winter,Maize,3800,Kilograms,7.6,Medium,Good,High,Stable,Good,Negative,
20,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Maize,4100,Kilograms,8.2,High,Excellent,Medium,Stable,Excellent,Positive,
21,AP,wgt,10,20,30,25,15,10,70,0.5,50,Winter,Potato,7000,Kilograms,14,Low,Good,High,Stable,Good,Positive,
22,AP,wgt,12,18,32,24,14,12,65,0.3,30,Winter,Potato,6700,Kilograms,13.4,Medium,Excellent,Medium,Stable,Excellent,Positive,
23,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Potato,7300,Kilograms,14.6,High,Good,Low,Stable,Good,Positive,
24,AP,wgt,9,15,35,23,13,10,68,0.4,40,Winter,Potato,6300,Kilograms,12.6,Medium,Good,High,Stable,Good,Negative,
25,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Potato,6800,Kilograms,13.6,High,Excellent,Medium,Stable,Excellent,Positive,
26,AP,wgt,10,18,30,25,15,10,70,0.5,50,Winter,Potato,7300,Kilograms,14.6,Low,Good,High,Stable,Good,Positive,
27,AP,wgt,12,20,35,24,14,12,65,0.3,30,Winter,Potato,7000,Kilograms,14,Medium,Excellent,Medium,Stable,Excellent,Positive,
28,AP,wgt,11,22,28,26,16,8,75,0.2,20,Winter,Potato,7700,Kilograms,15.4,High,Good,Low,Stable,Good,Positive,
29,AP,wgt,9,15,32,23,13,10,68,0.4,40,Winter,Potato,6600,Kilograms,13.2,Medium,Good,High,Stable,Good,Negative,
30,AP,wgt,13,20,30,27,17,10,72,0.3,30,Winter,Potato,7100,Kilograms,14.2,High,Excellent,Medium,Stable,Excellent,Positive,
31,AP,wgt,10,20,30,25,15,10,70,0.5,50,Summer,Wheat,5200,Kilograms,10.4,Low,Good,High,Stable,Good,Positive,
32,AP,wgt,12,18,32,24,14,12,65,0.3,30,Summer,Wheat,5000,Kilograms,10,Medium,Excellent,Medium,Stable,Excellent,Positive,
33,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Wheat,5400,Kilograms,10.8,High,Good,Low,Stable,Good,Positive,
34,AP,wgt,9,15,35,23,13,10,68,0.4,40,Summer,Wheat,4600,Kilograms,9.2,Medium,Good,High,Stable,Good,Negative,
35,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Wheat,4900,Kilograms,9.8,High,Excellent,Medium,Stable,Excellent,Positive,
36,AP,wgt,10,18,30,25,15,10,70,0.5,50,Summer,Wheat,5200,Kilograms,10.4,Low,Good,High,Stable,Good,Positive,
37,AP,wgt,12,20,35,24,14,12,65,0.3,30,Summer,Wheat,5000,Kilograms,10,Medium,Excellent,Medium,Stable,Excellent,Positive,
38,AP,wgt,11,22,28,26,16,8,75,0.2,20,Summer,Wheat,5400,Kilograms,10.8,High,Good,Low,Stable,Good,Positive,
39,AP,wgt,9,15,32,23,13,10,68,0.4,40,Summer,Wheat,4600,Kilograms,9.2,Medium,Good,High,Stable,Good,Negative,
40,AP,wgt,13,20,30,27,17,10,72,0.3,30,Summer,Wheat,4900,Kilograms,9.8,High,Excellent,Medium,Stable,Excellent,Positive,
41,AP,wgt,10,20,30,25,15,10,70,0.5,50,Summer,Rice,6000,Kilograms,12,Low,Good,High,Stable,Good,Positive,
