PID,Date,N,P,K,MaxT,MinT,WindSpeed,Humidity ,Precipitation,rainfall,Season,Crop,Production,Production Units,Yield
120001,08-01-2006 00:00,90,42,43,29.5,21.8,1.6,70.2,0,202.9355362,Kharif,Arhar/Tur,430,Tonnes,1.673151751
120002,09-01-2006 00:00,85,58,41,30.1,21,1.6,67.4,0,226.6555374,Kharif,Bajra,379,Tonnes,1.441064639
120003,10-01-2006 00:00,60,55,44,29.9,21.1,1.7,65.2,0,263.9642476,Kharif,Castor seed,189,Tonnes,0.710526316
120004,11-01-2006 00:00,74,35,40,29.8,20.8,1.5,69,0,242.8640342,Kharif,Cotton(lint),12,Tonnes,1.714285714
120005,12-01-2006 00:00,78,42,42,29.6,20.5,2.1,69.5,0,262.7173405,Kharif,Dry chillies,10,Tonnes,1.428571429
120006,13-01-2006 00:00,69,37,42,29.7,19.8,2.1,62.6,0,251.0549998,Kharif,Groundnut,4,Tonnes,0.666666667
120007,14-01-2006 00:00,69,55,38,29.7,19.7,2.1,62.5,0,271.3248604,Kharif,Horse-gram,7,Tonnes,1.75
120008,15-01-2006 00:00,94,53,40,29.4,19.9,1.8,67.3,0,241.9741949,Kharif,Jowar,26,Tonnes,1.444444444
120009,16-01-2006 00:00,89,54,38,30.3,19.9,1.3,66.4,0,230.4462359,Kharif,Korra,13,Tonnes,0.722222222
120010,17-01-2006 00:00,68,58,38,31,20.7,1.3,67.7,0,221.2091958,Kharif,Maize,12,Tonnes,1.5
120011,18-01-2006 00:00,91,53,40,31.5,20.6,1.4,68.9,0,264.6148697,Kharif,Moong(Green Gram),9,Tonnes,0.75
120012,19-01-2006 00:00,90,46,42,32.1,20.4,1.6,61.2,0,250.0832336,Kharif,Other Kharif pulses,6,Tonnes,0.666666667
120013,20-01-2006 00:00,78,58,44,33.9,20.9,1.7,58.3,0,284.4364567,Kharif,Ragi,18027,Tonnes,0.468989021
120014,21-01-2006 00:00,93,56,36,32.7,21,1.4,57.3,0,185.2773389,Kharif,Rice,306,Tonnes,0.469325153
120015,22-01-2006 00:00,94,50,37,33.2,20.4,2,61.1,0,209.5869708,Kharif,Sugarcane,9989,Tonnes,0.245002575
120016,23-01-2006 00:00,60,48,39,33,21.1,2.5,49.2,0,231.0863347,Kharif,Sunflower,232,Tonnes,0.245502646
120017,24-01-2006 00:00,85,38,41,31.4,20.9,2.3,52.6,0,276.6552459,Kharif,Tobacco,13284,Tonnes,0.346000573
120018,25-01-2006 00:00,91,35,39,29,20.2,2.5,57.1,0,206.2611855,Rabi       ,Dry chillies,467,Tonnes,0.345669874
120019,26-01-2006 00:00,77,38,36,27,19.6,1.8,56.3,0,224.5550169,Rabi       ,Gram,7628,Tonnes,0.272994059
120020,27-01-2006 00:00,88,35,40,29.3,18.1,2.3,57.8,0,291.2986618,Rabi       ,Groundnut,1,Tonnes,0.2
120021,28-01-2006 00:00,89,45,36,29.3,16.8,2.1,56.6,0,185.4974732,Rabi       ,Horse-gram,6557,Tonnes,0.196000478
120022,29-01-2006 00:00,76,40,43,29.8,17.7,1.9,55.9,0,231.3843163,Rabi       ,Jowar,6959,Tonnes,0.168998009
120023,30-01-2006 00:00,67,59,41,29.7,18.5,2,53.3,0,213.3560921,Rabi       ,Korra,924,Tonnes,0.171016102
120024,31-01-2006 00:00,83,41,43,30.5,19.9,1.9,61.2,0,233.1075816,Rabi       ,Maize,440,Tonnes,0.106977875
120025,01-02-2006 00:00,98,47,37,30.3,19.5,1.8,65.9,0,224.0581164,Rabi       ,Ragi,2,Tonnes,0.117647059
120026,02-02-2006 00:00,66,53,41,30.2,19.9,2,62.9,0,257.0038865,Rabi       ,Rice,636,Tonnes,0.075035394
120027,03-02-2006 00:00,97,59,43,31.1,19.2,2.7,63.1,0,271.3586137,Rabi       ,Sunflower,1,Tonnes,0.1
120028,04-02-2006 00:00,97,50,41,32,20,1.9,55.9,0,260.2634026,Rabi       ,Wheat,763,Tonnes,0.582887701
120029,05-02-2006 00:00,60,49,44,32.1,19.3,1.8,55.4,0,240.0810647,Kharif,Arhar/Tur,267,Tonnes,0.349934469
120030,06-02-2006 00:00,84,51,35,31,20.1,1.9,60.4,0,197.9791215,Kharif,Bajra,539,Tonnes,0.423076923
120031,07-02-2006 00:00,73,57,41,30.9,19.8,1.8,51.2,0,272.2017204,Kharif,Castor seed,29873,Tonnes,0.76200801
120032,08-02-2006 00:00,92,35,40,30.2,19.7,1.8,53.7,0,200.0882787,Kharif,Cotton(lint),587,Tonnes,0.762337662
120033,09-02-2006 00:00,85,37,39,29.6,19.9,2,55.1,0,224.6757231,Kharif,Dry chillies,19290,Tonnes,0.515004272
120034,10-02-2006 00:00,98,53,38,31.2,19.6,2.2,53,0,270.4417274,Kharif,Groundnut,677,Tonnes,0.5152207
120035,11-02-2006 00:00,88,54,44,32.2,20.1,2.1,57.3,0,233.1321372,Kharif,Horse-gram,17758,Tonnes,0.521987066
120036,12-02-2006 00:00,95,55,42,31.3,19.8,1.8,57.3,0,193.3473987,Kharif,Jowar,398,Tonnes,0.522309711
120037,13-02-2006 00:00,99,57,35,31.8,19.7,1.7,54.6,0,272.2999056,Kharif,Korra,7139,Tonnes,0.592005971
120038,14-02-2006 00:00,95,39,36,34.1,20.6,1.7,52.9,0,285.2493645,Kharif,Maize,40,Tonnes,0.597014925
120039,15-02-2006 00:00,60,43,44,33.5,20.9,1.3,56.2,0,298.4018471,Kharif,Moong(Green Gram),2605,Tonnes,0.162985672
120040,16-02-2006 00:00,63,44,41,33.4,20.4,1.8,55.1,0,257.0343554,Kharif,Other Kharif pulses,6,Tonnes,0.166666667
120041,17-02-2006 00:00,62,42,36,32.8,21.8,1.9,58.9,0,248.7183228,Kharif,Ragi,8997,Tonnes,0.304014327
120042,18-02-2006 00:00,64,45,43,33.1,22.6,1.9,57.4,0,209.9001977,Kharif,Rice,23,Tonnes,0.306666667
120043,19-02-2006 00:00,83,60,36,33.9,22.4,1.7,54,0,200.834898,Kharif,Sunflower,2649,Tonnes,0.529905981
120044,20-02-2006 00:00,82,40,40,33.9,22.5,2,59.9,0,298.5601175,Rabi       ,Dry chillies,363,Tonnes,0.530701754
120045,21-02-2006 00:00,85,52,45,34.2,21.8,1.8,58.2,0,265.5355937,Rabi       ,Gram,1629,Tonnes,0.246072508
120046,22-02-2006 00:00,91,35,38,34.7,21.9,1.7,53.3,0,183.6793207,Rabi       ,Groundnut,126,Tonnes,0.24609375
120047,23-02-2006 00:00,76,49,42,34.9,21.4,2,50.9,0,196.9560008,Rabi       ,Horse-gram,4813,Tonnes,0.423978154
120048,24-02-2006 00:00,74,39,38,35.3,21,2,45.7,0,233.0453455,Rabi       ,Jowar,377,Tonnes,0.424071991
120049,25-02-2006 00:00,79,43,39,35.3,20.8,1.8,45.4,0,210.8142087,Rabi       ,Maize,9980,Tonnes,0.475011899
120050,26-02-2006 00:00,88,55,45,35.6,21.6,2.1,49.7,0,253.7202781,Rabi       ,Ragi,302,Tonnes,0.475590551
120051,27-02-2006 00:00,60,36,43,34.8,21.4,2.6,52.3,0,219.9048349,Rabi       ,Rice,10195,Tonnes,0.417007526
120052,28-02-2006 00:00,76,60,39,34.6,22.6,2.5,56,0,208.5810155,Rabi       ,Sunflower,324,Tonnes,0.416988417
120053,01-03-2006 00:00,93,56,42,33.6,23.5,2.5,56.2,0,195.0948311,Rabi       ,Wheat,15405,Tonnes,0.528002468
120054,02-03-2006 00:00,65,60,43,33.1,22.8,2.8,66,0,227.3637009,Whole Year ,Sugarcane,409,Tonnes,0.528423773
120055,03-03-2006 00:00,95,52,36,32.1,24.3,2.8,71.3,4.8,286.5083725,Whole Year ,Tobacco,4922,Tonnes,0.638060669
120056,04-03-2006 00:00,75,38,39,33.1,25.3,2.3,71.7,0,283.9338466,Kharif,Bajra,51,Tonnes,0.6375
120057,05-03-2006 00:00,74,54,38,32.9,24.6,2.3,69.6,4.8,217.3788583,Kharif,Castor seed,3438,Tonnes,0.463030303
120058,06-03-2006 00:00,91,36,45,33.7,24.1,2.2,67,0,267.9761948,Kharif,Cotton(lint),58,Tonnes,0.46031746
120059,07-03-2006 00:00,71,46,40,33.3,24,2.2,65.5,0,191.9535738,Kharif,Groundnut,6357,Tonnes,0.659987542
120060,08-03-2006 00:00,99,55,35,33,24.1,2.2,64.3,0,277.9626192,Kharif,Horse-gram,10216,Tonnes,0.382006506
120061,09-03-2006 00:00,72,40,38,32.7,24.2,3.2,63.5,0,245.1511304,Kharif,Jowar,366,Tonnes,0.382045929
120062,10-03-2006 00:00,83,58,45,32.5,23.8,2.6,66.3,0,245.6626799,Kharif,Maize,13187,Tonnes,0.420008281
120063,11-03-2006 00:00,93,58,38,30.8,22.7,2.1,76.2,0,279.5451717,Kharif,Masoor,261,Tonnes,0.419614148
120064,12-03-2006 00:00,70,36,42,32.5,23.4,1.7,64.8,0,202.3838319,Kharif,Moong(Green Gram),13552,Tonnes,0.405991612
120065,13-03-2006 00:00,76,47,42,32.8,23.8,2.3,61.5,0,263.6372176,Kharif,Ragi,80,Tonnes,0.406091371
120066,14-03-2006 00:00,99,41,36,33.3,24.3,2.6,63.2,0,182.5616319,Kharif,Rice,16297,Tonnes,0.283002813
120067,15-03-2006 00:00,99,54,37,33.7,25.3,2.4,70.2,0,198.6730942,Kharif,Sesamum,2,Tonnes,0.285714286
120068,16-03-2006 00:00,86,59,35,33.3,24.8,2.4,59.6,0,243.5120414,Kharif,Urad,24073,Tonnes,0.414994484
120069,17-03-2006 00:00,69,46,41,32.7,24.2,2.3,60.1,0,263.1103304,Rabi       ,Bajra,24022,Tonnes,0.399003405
120070,18-03-2006 00:00,91,56,37,33.8,23.6,3,56.7,0,269.5039162,Rabi       ,Gram,1,Tonnes,0.5
120071,19-03-2006 00:00,61,52,41,33.2,24.4,2.4,53.4,0,204.8001847,Rabi       ,Groundnut,9971,Tonnes,0.513995567
120072,20-03-2006 00:00,67,45,38,34.1,23.5,2,56.9,0,260.8875056,Rabi       ,Horse-gram,6122,Tonnes,0.324018207
120073,21-03-2006 00:00,79,42,37,35.9,23.5,2.2,50.1,0,295.6094492,Rabi       ,Jowar,14,Tonnes,0.318181818
120074,22-03-2006 00:00,78,43,42,35.4,24.4,2.5,48.5,0,192.3197536,Rabi       ,Linseed,12746,Tonnes,0.518995073
120075,23-03-2006 00:00,75,54,36,36.4,24.8,2.2,49.8,0,257.4914906,Rabi       ,Maize,4,Tonnes,0.571428571
120076,24-03-2006 00:00,97,36,45,35.1,24.6,1.6,48.8,0,278.0791793,Rabi       ,Masoor,6092,Tonnes,0.262021505
120077,25-03-2006 00:00,67,47,44,35.8,24.4,2.1,53.4,0,280.4044392,Rabi       ,Moong(Green Gram),102,Tonnes,0.260869565
120078,26-03-2006 00:00,73,35,38,36.4,24.9,2.1,51.3,0,185.9461429,Rabi       ,Ragi,5281,Tonnes,0.211986191
120079,27-03-2006 00:00,77,36,37,36.7,25.8,2.4,46.4,0,194.5766559,Rabi       ,Rice,151,Tonnes,0.211781206
120080,28-03-2006 00:00,81,41,38,35.7,25.9,2.1,57.4,0,200.9133156,Rabi       ,Safflower,18844,Tonnes,0.509008401
120081,29-03-2006 00:00,68,57,43,33.8,24.5,2.3,51.3,0,182.9043504,Rabi       ,Sesamum,440,Tonnes,0.50867052
120082,30-03-2006 00:00,72,45,35,34.8,24.8,2.5,52.4,0,195.3574542,Rabi       ,Wheat,565,Tonnes,0.216061185
120083,31-03-2006 00:00,61,53,43,35.6,24.9,1.7,54.6,0,223.3671883,Whole Year ,Dry chillies,9,Tonnes,0.225
120084,01-04-2006 00:00,67,43,39,36,25.3,2.2,53.7,0,186.7536773,Whole Year ,Onion,749,Tonnes,0.373752495
120085,02-04-2006 00:00,67,58,39,35.4,26.3,2.7,62.4,0,220.1156708,Whole Year ,Sugarcane,,Tonnes,0
120086,03-04-2006 00:00,66,60,38,35.4,26.3,2.7,63.4,0,231.7364957,Kharif,Arhar/Tur,813,Tonnes,0.335950413
120087,04-04-2006 00:00,82,43,38,35.6,26,2.5,59.3,0,242.3170629,Kharif,Bajra,3,Tonnes,0.333333333
120088,05-04-2006 00:00,84,50,44,36.4,26.3,2.4,50.4,0,182.6549356,Kharif,Castor seed,29139,Tonnes,0.48099239
120089,06-04-2006 00:00,81,53,42,36.8,26.1,2.4,61.2,0,233.7034975,Kharif,Cotton(lint),321,Tonnes,0.48125937
120090,07-04-2006 00:00,91,50,40,36.2,27,2.6,55.5,0,230.2242223,Kharif,Dry chillies,12271,Tonnes,0.224001022
120091,08-04-2006 00:00,93,53,38,36,27.6,2.8,59.5,0,290.6793783,Kharif,Gram,146,Tonnes,0.224615385
120092,09-04-2006 00:00,90,44,38,35.8,28,2.8,56.7,0,241.2013513,Kharif,Groundnut,27125,Tonnes,0.345995382
120093,10-04-2006 00:00,81,45,35,35.2,27.2,2.9,69.4,0,218.9163567,Kharif,Horse-gram,138,Tonnes,0.346733668
120094,11-04-2006 00:00,78,40,38,36.2,26.2,2.5,59.1,0,248.2256491,Kharif,Jowar,14567,Tonnes,0.438989844
120095,12-04-2006 00:00,60,51,36,36.3,26.9,2.9,52.7,0,256.9964761,Kharif,Korra,19151,Tonnes,0.585013441
120096,13-04-2006 00:00,88,46,42,36.5,27.4,2.3,51.9,0,194.2651719,Kharif,Maize,26306,Tonnes,0.735009779
120097,14-04-2006 00:00,93,47,37,36,26.5,2.8,62.1,0,295.9248796,Kharif,Moong(Green Gram),375,Tonnes,0.583203733
120098,15-04-2006 00:00,60,55,45,35.1,26.8,2.6,68.8,0,287.5766935,Kharif,Onion,63,Tonnes,0.583333333
120099,16-04-2006 00:00,78,35,44,34.5,26.9,3,76,9.8,183.6222657,Kharif,Other Kharif pulses,141,Tonnes,0.350746269
120100,17-04-2006 00:00,65,37,40,28.3,22.9,2.4,72.4,9.8,188.413665,Kharif,other misc. pulses,203,Tonnes,0.350604491
120101,18-04-2006 00:00,71,54,16,32.9,23.8,2.2,73.7,0,87.75953857,Kharif,Ragi,1112,Tonnes,0.423135464
120102,19-04-2006 00:00,61,44,17,34.8,26.3,2.2,60.4,0,102.2662445,Kharif,Rice,248,Tonnes,0.423208191
120103,20-04-2006 00:00,80,43,16,34.6,25.6,2.5,58.4,0,66.71995467,Kharif,Samai,813,Tonnes,0.582795699
120104,21-04-2006 00:00,73,58,21,34.8,26.9,2.4,55.3,0,60.65171481,Kharif,Sesamum,533,Tonnes,0.34996717
120105,22-04-2006 00:00,61,38,20,35.4,25.6,2.2,60.3,0,65.43835393,Kharif,Small millets,665,Tonnes,0.422759059
120106,23-04-2006 00:00,68,41,16,36.4,26,2.1,55,0,102.0861694,Kharif,Sunflower,1507,Tonnes,0.310913967
120107,24-04-2006 00:00,93,41,17,36.4,26.8,2.4,62.2,0,105.4654703,Kharif,Urad,15,Tonnes,0.319148936
120108,25-04-2006 00:00,89,60,19,37.9,27.1,2.4,59.3,0,78.06639649,Rabi       ,Arhar/Tur,1575,Tonnes,0.335035099
120109,26-04-2006 00:00,76,44,17,37.6,27.8,2.4,53,0,65.27798457,Rabi       ,Bajra,2188,Tonnes,0.511932616
120110,27-04-2006 00:00,67,60,25,38.8,28.3,3.2,51.1,0,109.2162279,Rabi       ,Dry chillies,3,Tonnes,0.5
120111,28-04-2006 00:00,70,44,19,37.3,27.8,2.8,48.9,0,94.29712821,Rabi       ,Gram,765,Tonnes,0.582635187
120112,29-04-2006 00:00,90,49,21,36.9,27.9,2.2,46.1,0,74.05474936,Rabi       ,Groundnut,555,Tonnes,0.349716446
120113,30-04-2006 00:00,62,52,16,37.3,27.8,3.2,46.5,0,63.87020584,Rabi       ,Horse-gram,791,Tonnes,0.422768573
120114,01-05-2006 00:00,92,44,16,37.4,28.1,3.2,59.9,4.7,94.76189431,Rabi       ,Jowar,13302,Tonnes,0.541017611
120115,02-05-2006 00:00,66,54,21,36.1,28.3,3,61.7,0,72.12375573,Rabi       ,Korra,172,Tonnes,0.540880503
120116,03-05-2006 00:00,63,58,22,36,28.3,2.6,70.5,0,63.72358154,Rabi       ,Linseed,9227,Tonnes,0.434969123
120117,04-05-2006 00:00,70,47,17,36.2,26.7,2.6,66.7,0,104.1626147,Rabi       ,Maize,775,Tonnes,0.434904602
